# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	29769	31559	-						30906725	PCOAH_00000060	1791		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	29769	31559	-	XM_020056829.1		XP_019912397.1	KIR protein		30906725	PCOAH_00000060	1539	1539	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	29769	31559	-	XP_019912397.1		XM_020056829.1	KIR protein		30906725	PCOAH_00000060	1539	512	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	33952	35999	-						30906726	PCOAH_00000070	2048		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	33952	35999	-	XM_020056830.1		XP_019912423.1	Ubiquitin carboxyl-terminal hydrolase		30906726	PCOAH_00000070	1410	1410	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	33952	35999	-	XP_019912423.1		XM_020056830.1	Ubiquitin carboxyl-terminal hydrolase		30906726	PCOAH_00000070	1410	469	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	37797	40399	-						30906727	PCOAH_00000080	2603		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	37797	40399	-	XM_020056831.1		XP_019912486.1	SICA-like antigen		30906727	PCOAH_00000080	2337	2337	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	37797	40399	-	XP_019912486.1		XM_020056831.1	SICA-like antigen		30906727	PCOAH_00000080	2337	778	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	43936	44833	-						30906728	PCOAH_00000090	898		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	43936	44833	-	XM_020056832.1		XP_019912518.1	KIR-like protein		30906728	PCOAH_00000090	759	759	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	43936	44833	-	XP_019912518.1		XM_020056832.1	KIR-like protein		30906728	PCOAH_00000090	759	252	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	48417	50088	-						30906729	PCOAH_00000100	1672		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	48417	50088	-	XM_020056833.1		XP_019912389.1	Uncharacterized protein		30906729	PCOAH_00000100	1209	1209	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	48417	50088	-	XP_019912389.1		XM_020056833.1	Uncharacterized protein		30906729	PCOAH_00000100	1209	402	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	52842	53744	+						30906730	PCOAH_00000110	903		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	52842	53744	+	XM_020056834.1		XP_019912580.1	Uncharacterized protein		30906730	PCOAH_00000110	683	683	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	52842	53361	+	XP_019912580.1		XM_020056834.1	Uncharacterized protein		30906730	PCOAH_00000110	300	99	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	55364	56765	+						30906731	PCOAH_00000120	1402		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	55364	56765	+	XM_020056835.1		XP_019912554.1	Uncharacterized protein		30906731	PCOAH_00000120	1176	1176	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	55364	56765	+	XP_019912554.1		XM_020056835.1	Uncharacterized protein		30906731	PCOAH_00000120	1176	391	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	59734	60765	+						30906732	PCOAH_00000130	1032		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	59734	60765	+	XM_020056836.1		XP_019912530.1	Uncharacterized protein		30906732	PCOAH_00000130	1032	1032	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	59734	60765	+	XP_019912530.1		XM_020056836.1	Uncharacterized protein		30906732	PCOAH_00000130	1032	343	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	70544	70888	+						30906733	PCOAH_00000140	345		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	70544	70888	+	XM_020056837.1		XP_019912501.1	Uncharacterized protein		30906733	PCOAH_00000140	345	345	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	70544	70888	+	XP_019912501.1		XM_020056837.1	Uncharacterized protein		30906733	PCOAH_00000140	345	114	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	74180	74678	-						30906734	PCOAH_00000150	499		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	74180	74678	-	XM_020056838.1		XP_019912473.1	Uncharacterized protein		30906734	PCOAH_00000150	312	312	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	74180	74678	-	XP_019912473.1		XM_020056838.1	Uncharacterized protein		30906734	PCOAH_00000150	312	103	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	83599	85764	+						30906735	PCOAH_00000160	2166		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	83599	85764	+	XM_020056839.1		XP_019912448.1	Chitinase		30906735	PCOAH_00000160	1956	1956	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	83599	85764	+	XP_019912448.1		XM_020056839.1	Chitinase		30906735	PCOAH_00000160	1956	651	
gene	tRNA	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	86794	86866	-					Ala_AGC	30906736	PCOAH_00000170	73		partial
tRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	86794	86866	-				tRNA-Ala	Ala_AGC	30906736	PCOAH_00000170	73		partial
gene	tRNA	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	87431	87514	+					Tyr_GTA	30906737	PCOAH_00000180	84		partial
tRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	87431	87514	+				tRNA-Tyr	Tyr_GTA	30906737	PCOAH_00000180	73		partial
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	89012	89889	-						30906738	PCOAH_00000190	878		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	89012	89889	-	XM_020056840.1		XP_019912407.1	Uncharacterized protein		30906738	PCOAH_00000190	324	324	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	89012	89889	-	XP_019912407.1		XM_020056840.1	Uncharacterized protein		30906738	PCOAH_00000190	324	107	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	91489	96780	+						30906739	PCOAH_00000200	5292		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	91489	96780	+	XM_020056841.1		XP_019912546.1	Uncharacterized protein		30906739	PCOAH_00000200	5292	5292	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	91489	96780	+	XP_019912546.1		XM_020056841.1	Uncharacterized protein		30906739	PCOAH_00000200	5292	1763	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	97512	98048	+						30906740	PCOAH_00000210	537		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	97512	98048	+	XM_020056842.1		XP_019912409.1	Uncharacterized protein		30906740	PCOAH_00000210	537	537	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	97512	98048	+	XP_019912409.1		XM_020056842.1	Uncharacterized protein		30906740	PCOAH_00000210	537	178	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	99033	102866	-						30906741	PCOAH_00000220	3834		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	99033	102866	-	XM_020056843.1		XP_019912490.1	Uncharacterized protein		30906741	PCOAH_00000220	3834	3834	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	99033	102866	-	XP_019912490.1		XM_020056843.1	Uncharacterized protein		30906741	PCOAH_00000220	3834	1277	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	104531	104965	+						30906742	PCOAH_00000230	435		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	104531	104965	+	XM_020056844.1		XP_019912523.1	Uncharacterized protein		30906742	PCOAH_00000230	435	435	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	104531	104965	+	XP_019912523.1		XM_020056844.1	Uncharacterized protein		30906742	PCOAH_00000230	435	144	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	106045	108155	-						30906743	PCOAH_00000240	2111		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	106045	108155	-	XM_020056845.1		XP_019912484.1	Uncharacterized protein		30906743	PCOAH_00000240	2013	2013	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	106045	108155	-	XP_019912484.1		XM_020056845.1	Uncharacterized protein		30906743	PCOAH_00000240	2013	670	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	112570	119481	+						30906744	PCOAH_00000250	6912		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	112570	119481	+	XM_020056846.1		XP_019912515.1	Erythrocyte membrane-associated antigen		30906744	PCOAH_00000250	6912	6912	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	112570	119481	+	XP_019912515.1		XM_020056846.1	Erythrocyte membrane-associated antigen		30906744	PCOAH_00000250	6912	2303	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	121005	123724	+						30906745	PCOAH_00000260	2720		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	121005	123724	+	XM_020056847.1		XP_019912434.1	Uncharacterized protein		30906745	PCOAH_00000260	1144	1144	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	121586	123724	+	XP_019912434.1		XM_020056847.1	Uncharacterized protein		30906745	PCOAH_00000260	804	267	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	124416	125030	-						30906746	PCOAH_00000270	615		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	124416	125030	-	XM_020056848.1		XP_019912459.1	Uncharacterized protein		30906746	PCOAH_00000270	615	615	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	124416	125030	-	XP_019912459.1		XM_020056848.1	Uncharacterized protein		30906746	PCOAH_00000270	615	204	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	128295	131065	+						30906747	PCOAH_00000280	2771		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	128295	131065	+	XM_020056849.1		XP_019912559.1	Uncharacterized protein		30906747	PCOAH_00000280	2640	2640	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	128295	131065	+	XP_019912559.1		XM_020056849.1	Uncharacterized protein		30906747	PCOAH_00000280	2640	879	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	131959	143480	-						30906748	PCOAH_00000290	11522		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	131959	143480	-	XM_020056850.1		XP_019912586.1	Uncharacterized protein		30906748	PCOAH_00000290	11397	11397	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	131959	143480	-	XP_019912586.1		XM_020056850.1	Uncharacterized protein		30906748	PCOAH_00000290	11397	3798	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	144826	153597	-						30906749	PCOAH_00000300	8772		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	144826	153597	-	XM_020056851.1		XP_019912544.1	Uncharacterized protein		30906749	PCOAH_00000300	8772	8772	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	144826	153597	-	XP_019912544.1		XM_020056851.1	Uncharacterized protein		30906749	PCOAH_00000300	8772	2923	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	156661	166623	+						30906750	PCOAH_00000310	9963		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	156661	166623	+	XM_020056852.1		XP_019912519.1	Uncharacterized protein		30906750	PCOAH_00000310	9963	9963	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	156661	166623	+	XP_019912519.1		XM_020056852.1	Uncharacterized protein		30906750	PCOAH_00000310	9963	3320	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	167319	170510	-						30906751	PCOAH_00000320	3192		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	167319	170510	-	XM_020056853.1		XP_019912598.1	Uncharacterized protein		30906751	PCOAH_00000320	3192	3192	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	167319	170510	-	XP_019912598.1		XM_020056853.1	Uncharacterized protein		30906751	PCOAH_00000320	3192	1063	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	173491	179079	+						30906752	PCOAH_00000330	5589		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	173491	179079	+	XM_020056854.1		XP_019912571.1	Uncharacterized protein		30906752	PCOAH_00000330	5589	5589	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	173491	179079	+	XP_019912571.1		XM_020056854.1	Uncharacterized protein		30906752	PCOAH_00000330	5589	1862	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	181126	183534	+						30906753	PCOAH_00000340	2409		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	181126	183534	+	XM_020056855.1		XP_019912385.1	WD domain G-beta repeat domain containing protein		30906753	PCOAH_00000340	2409	2409	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	181126	183534	+	XP_019912385.1		XM_020056855.1	WD domain G-beta repeat domain containing protein		30906753	PCOAH_00000340	2409	802	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	185330	186788	+						30906754	PCOAH_00000350	1459		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	185330	186788	+	XM_020056856.1		XP_019912577.1	Uncharacterized protein		30906754	PCOAH_00000350	1266	1266	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	185330	186788	+	XP_019912577.1		XM_020056856.1	Uncharacterized protein		30906754	PCOAH_00000350	1266	421	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	188768	190727	-						30906755	PCOAH_00000360	1960		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	188768	190727	-	XM_020056857.1		XP_019912487.1	Uncharacterized protein		30906755	PCOAH_00000360	1737	1737	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	188768	190727	-	XP_019912487.1		XM_020056857.1	Uncharacterized protein		30906755	PCOAH_00000360	1737	578	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	193874	194338	+						30906756	PCOAH_00000370	465		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	193874	194338	+	XM_020056858.1		XP_019912410.1	Cytochrome c		30906756	PCOAH_00000370	465	465	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	193874	194338	+	XP_019912410.1		XM_020056858.1	Cytochrome c		30906756	PCOAH_00000370	465	154	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	204880	208575	-						30906757	PCOAH_00000380	3696		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	204880	208575	-	XM_020056859.1		XP_019912496.1	Calcium-dependent protein kinase 3		30906757	PCOAH_00000380	3696	3696	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	204880	208575	-	XP_019912496.1		XM_020056859.1	Calcium-dependent protein kinase 3		30906757	PCOAH_00000380	3696	1231	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	210564	223156	-						30906758	PCOAH_00000390	12593		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	210564	223156	-	XM_020056860.1		XP_019912468.1	Uncharacterized protein		30906758	PCOAH_00000390	11259	11259	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	210564	223156	-	XP_019912468.1		XM_020056860.1	Uncharacterized protein		30906758	PCOAH_00000390	11259	3752	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	227019	230663	+						30906759	PCOAH_00000400	3645		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	227019	230663	+	XM_020056861.1		XP_019912471.1	Uncharacterized protein		30906759	PCOAH_00000400	3645	3645	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	227019	230663	+	XP_019912471.1		XM_020056861.1	Uncharacterized protein		30906759	PCOAH_00000400	3645	1214	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	231138	234981	-						30906760	PCOAH_00000410	3844		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	231138	234981	-	XM_020056862.1		XP_019912499.1	Uncharacterized protein		30906760	PCOAH_00000410	3795	3795	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	231138	234981	-	XP_019912499.1		XM_020056862.1	Uncharacterized protein		30906760	PCOAH_00000410	3795	1264	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	236256	237260	-						30906761	PCOAH_00000420	1005		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	236256	237260	-	XM_020056863.1		XP_019912528.1	Peptidyl-trna hydrolase		30906761	PCOAH_00000420	1005	1005	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	236256	237260	-	XP_019912528.1		XM_020056863.1	Peptidyl-trna hydrolase		30906761	PCOAH_00000420	1005	334	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	238433	241810	-						30906762	PCOAH_00000430	3378		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	238433	241810	-	XM_020056864.1		XP_019912552.1	mRNA-capping enzyme		30906762	PCOAH_00000430	3273	3273	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	238433	241810	-	XP_019912552.1		XM_020056864.1	mRNA-capping enzyme		30906762	PCOAH_00000430	3273	1090	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	244044	246305	+						30906763	PCOAH_00000440	2262		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	244044	246305	+	XM_020056865.1		XP_019912579.1	Uncharacterized protein		30906763	PCOAH_00000440	2262	2262	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	244044	246305	+	XP_019912579.1		XM_020056865.1	Uncharacterized protein		30906763	PCOAH_00000440	2262	753	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	247419	251462	+						30906764	PCOAH_00000450	4044		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	247419	251462	+	XM_020056866.1		XP_019912387.1	Uncharacterized protein		30906764	PCOAH_00000450	4044	4044	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	247419	251462	+	XP_019912387.1		XM_020056866.1	Uncharacterized protein		30906764	PCOAH_00000450	4044	1347	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	252819	255285	+						30906765	PCOAH_00000460	2467		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	252819	255285	+	XM_020056867.1		XP_019912413.1	Origin recognition subunit		30906765	PCOAH_00000460	2439	2439	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	252819	255285	+	XP_019912413.1		XM_020056867.1	Origin recognition subunit		30906765	PCOAH_00000460	2439	812	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	255678	258182	-						30906766	PCOAH_00000470	2505		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	255678	258182	-	XM_020056868.1		XP_019912437.1	DNA helicase		30906766	PCOAH_00000470	2505	2505	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	255678	258182	-	XP_019912437.1		XM_020056868.1	DNA helicase		30906766	PCOAH_00000470	2505	834	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	260644	268620	-						30906767	PCOAH_00000480	7977		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	260644	268620	-	XM_020056869.1		XP_019912482.1	Inositol phosphatase		30906767	PCOAH_00000480	7836	7836	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	260644	268620	-	XP_019912482.1		XM_020056869.1	Inositol phosphatase		30906767	PCOAH_00000480	7836	2611	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	271397	274600	-						30906768	PCOAH_00000490	3204		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	271397	274600	-	XM_020056870.1		XP_019912513.1	Uncharacterized protein		30906768	PCOAH_00000490	3204	3204	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	271397	274600	-	XP_019912513.1		XM_020056870.1	Uncharacterized protein		30906768	PCOAH_00000490	3204	1067	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	275778	276646	-						30906769	PCOAH_00000500	869		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	275778	276646	-	XM_020056871.1		XP_019912418.1	30S ribosomal protein S14p/S29e		30906769	PCOAH_00000500	243	243	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	275778	276646	-	XP_019912418.1		XM_020056871.1	30S ribosomal protein S14p/S29e		30906769	PCOAH_00000500	243	80	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	277691	279867	-						30906770	PCOAH_00000510	2177		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	277691	279867	-	XM_020056872.1		XP_019912391.1	Uncharacterized protein		30906770	PCOAH_00000510	958	958	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	277865	279707	-	XP_019912391.1		XM_020056872.1	Uncharacterized protein		30906770	PCOAH_00000510	624	207	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	280540	282248	-						30906771	PCOAH_00000520	1709		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	280540	282248	-	XM_020056873.1		XP_019912584.1	ATPase subunit 9		30906771	PCOAH_00000520	1075	1075	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	280709	281843	-	XP_019912584.1		XM_020056873.1	ATPase subunit 9		30906771	PCOAH_00000520	501	166	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	283593	287303	+						30906772	PCOAH_00000530	3711		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	283593	287303	+	XM_020056874.1		XP_019912557.1	Uncharacterized protein		30906772	PCOAH_00000530	3711	3711	partial
CDS	with_protein	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	283593	287303	+	XP_019912557.1		XM_020056874.1	Uncharacterized protein		30906772	PCOAH_00000530	3711	1236	
gene	protein_coding	GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	287660	292983	-						30906773	PCOAH_00000540	5324		partial
mRNA		GCF_001680005.1	Primary Assembly	chromosome	1	NC_033556.1	287660	292983	-	XM_020056875.1		XP_019912521.1	Uncharacterized protein		30906773	PCOAH_00000540	4458	4458	partial
