# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	51382	51933	-	XM_012477664.1		XP_012333087.1	uncharacterized protein		24265327	AK88_00013	552	552	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	51382	51933	-	XP_012333087.1		XM_012477664.1	uncharacterized protein		24265327	AK88_00013	552	183	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	53954	54309	+						24265328	AK88_00014	356		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	53954	54309	+	XM_012477665.1		XP_012333088.1	uncharacterized protein		24265328	AK88_00014	213	213	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	53954	54309	+	XP_012333088.1		XM_012477665.1	uncharacterized protein		24265328	AK88_00014	213	70	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	54897	55730	-						24265329	AK88_00015	834		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	54897	55730	-	XM_012477666.1		XP_012333089.1	tRNA (guanine-N(7)-)-methyltransferase		24265329	AK88_00015	834	834	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	54897	55730	-	XP_012333089.1		XM_012477666.1	tRNA (guanine-N(7)-)-methyltransferase		24265329	AK88_00015	834	277	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	57018	57818	+						24265330	AK88_00016	801		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	57018	57818	+	XM_012477667.1		XP_012333090.1	uncharacterized protein		24265330	AK88_00016	471	471	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	57018	57818	+	XP_012333090.1		XM_012477667.1	uncharacterized protein		24265330	AK88_00016	471	156	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	59018	61107	+						24265331	AK88_00017	2090		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	59018	61107	+	XM_012477668.1		XP_012333091.1	uncharacterized protein		24265331	AK88_00017	723	723	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	59018	61107	+	XP_012333091.1		XM_012477668.1	uncharacterized protein		24265331	AK88_00017	723	240	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	65068	65355	+						24265332	AK88_00018	288		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	65068	65355	+	XM_012477669.1		XP_012333092.1	uncharacterized protein		24265332	AK88_00018	192	192	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	65068	65355	+	XP_012333092.1		XM_012477669.1	uncharacterized protein		24265332	AK88_00018	192	63	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	72031	77951	+						24265333	AK88_00019	5921		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	72031	77951	+	XM_012477670.1		XP_012333093.1	uncharacterized protein		24265333	AK88_00019	1308	1308	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	72031	77951	+	XP_012333093.1		XM_012477670.1	uncharacterized protein		24265333	AK88_00019	1308	435	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	78461	80083	-						24265334	AK88_00020	1623		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	78461	80083	-	XM_012477671.1		XP_012333094.1	uncharacterized protein		24265334	AK88_00020	1260	1260	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	78461	80083	-	XP_012333094.1		XM_012477671.1	uncharacterized protein		24265334	AK88_00020	1260	419	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	80936	84961	-						24265335	AK88_00021	4026		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	80936	84961	-	XM_012477672.1		XP_012333095.1	uncharacterized protein		24265335	AK88_00021	4026	4026	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	80936	84961	-	XP_012333095.1		XM_012477672.1	uncharacterized protein		24265335	AK88_00021	4026	1341	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	89507	91002	-						24265336	AK88_00022	1496		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	89507	91002	-	XM_012477673.1		XP_012333096.1	uncharacterized protein		24265336	AK88_00022	1194	1194	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	89507	91002	-	XP_012333096.1		XM_012477673.1	uncharacterized protein		24265336	AK88_00022	1194	397	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	96391	103256	+						24265337	AK88_00023	6866		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	96391	103256	+	XM_012477674.1		XP_012333097.1	uncharacterized protein		24265337	AK88_00023	6411	6411	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	96391	103256	+	XP_012333097.1		XM_012477674.1	uncharacterized protein		24265337	AK88_00023	6411	2136	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	103888	108181	+						24265338	AK88_00024	4294		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	103888	108181	+	XM_012477675.1		XP_012333098.1	uncharacterized protein		24265338	AK88_00024	2442	2442	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	103888	108181	+	XP_012333098.1		XM_012477675.1	uncharacterized protein		24265338	AK88_00024	2442	813	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	108622	109673	-						24265339	AK88_00025	1052		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	108622	109673	-	XM_012477676.1		XP_012333099.1	prefoldin, alpha subunit		24265339	AK88_00025	741	741	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	108622	109673	-	XP_012333099.1		XM_012477676.1	prefoldin, alpha subunit		24265339	AK88_00025	741	246	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111068	111478	+						24265340	AK88_00026	411		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111068	111478	+	XM_012477677.1		XP_012333100.1	uncharacterized protein		24265340	AK88_00026	411	411	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111068	111478	+	XP_012333100.1		XM_012477677.1	uncharacterized protein		24265340	AK88_00026	411	136	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111851	116521	-						24265341	AK88_00027	4671		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111851	116521	-	XM_012477678.1		XP_012333101.1	diphosphate-fructose-6-phosphate 1-phosphotransferase		24265341	AK88_00027	4008	4008	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	111851	116521	-	XP_012333101.1		XM_012477678.1	diphosphate-fructose-6-phosphate 1-phosphotransferase		24265341	AK88_00027	4008	1335	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	117865	120179	-						24265342	AK88_00028	2315		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	117865	120179	-	XM_012477679.1		XP_012333102.1	uncharacterized protein		24265342	AK88_00028	1053	1053	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	117865	120179	-	XP_012333102.1		XM_012477679.1	uncharacterized protein		24265342	AK88_00028	1053	350	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	121498	123182	+						24265343	AK88_00029	1685		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	121498	123182	+	XM_012477680.1		XP_012333103.1	uncharacterized protein		24265343	AK88_00029	1500	1500	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	121498	123182	+	XP_012333103.1		XM_012477680.1	uncharacterized protein		24265343	AK88_00029	1500	499	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	123670	125382	-						24265344	AK88_00030	1713		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	123670	125382	-	XM_012477681.1		XP_012333104.1	uncharacterized protein		24265344	AK88_00030	1713	1713	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	123670	125382	-	XP_012333104.1		XM_012477681.1	uncharacterized protein		24265344	AK88_00030	1713	570	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	126660	128510	+						24265345	AK88_00031	1851		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	126660	128510	+	XM_012477682.1		XP_012333105.1	uncharacterized protein		24265345	AK88_00031	1467	1467	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	126660	128510	+	XP_012333105.1		XM_012477682.1	uncharacterized protein		24265345	AK88_00031	1467	488	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	129848	132212	+						24265346	AK88_00032	2365		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	129848	132212	+	XM_012477683.1		XP_012333106.1	uncharacterized protein		24265346	AK88_00032	1935	1935	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	129848	132212	+	XP_012333106.1		XM_012477683.1	uncharacterized protein		24265346	AK88_00032	1935	644	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	133975	135444	+						24265347	AK88_00033	1470		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	133975	135444	+	XM_012477684.1		XP_012333107.1	spermidine synthase		24265347	AK88_00033	966	966	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	133975	135444	+	XP_012333107.1		XM_012477684.1	spermidine synthase		24265347	AK88_00033	966	321	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	138290	139579	+						24265348	AK88_00034	1290		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	138290	139579	+	XM_012477685.1		XP_012333108.1	uncharacterized protein		24265348	AK88_00034	1290	1290	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	138290	139579	+	XP_012333108.1		XM_012477685.1	uncharacterized protein		24265348	AK88_00034	1290	429	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	142089	143859	+						24265349	AK88_00035	1771		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	142089	143859	+	XM_012477686.1		XP_012333109.1	uncharacterized protein		24265349	AK88_00035	1182	1182	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	142089	143859	+	XP_012333109.1		XM_012477686.1	uncharacterized protein		24265349	AK88_00035	1182	393	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	144552	149387	-						24265350	AK88_00036	4836		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	144552	149387	-	XM_012477687.1		XP_012333110.1	uncharacterized protein		24265350	AK88_00036	4713	4713	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	144552	149387	-	XP_012333110.1		XM_012477687.1	uncharacterized protein		24265350	AK88_00036	4713	1570	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	150724	152655	-						24265351	AK88_00037	1932		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	150724	152655	-	XM_012477688.1		XP_012333111.1	uncharacterized protein		24265351	AK88_00037	1932	1932	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	150724	152655	-	XP_012333111.1		XM_012477688.1	uncharacterized protein		24265351	AK88_00037	1932	643	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	154197	156620	+						24265352	AK88_00038	2424		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	154197	156620	+	XM_012477689.1		XP_012333112.1	A/G-specific adenine glycosylase		24265352	AK88_00038	1806	1806	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	154197	156620	+	XP_012333112.1		XM_012477689.1	A/G-specific adenine glycosylase		24265352	AK88_00038	1806	601	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	157527	160652	+						24265353	AK88_00039	3126		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	157527	160652	+	XM_012477690.1		XP_012333113.1	uncharacterized protein		24265353	AK88_00039	3126	3126	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	157527	160652	+	XP_012333113.1		XM_012477690.1	uncharacterized protein		24265353	AK88_00039	3126	1041	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	162420	164168	+						24265354	AK88_00040	1749		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	162420	164168	+	XM_012477691.1		XP_012333114.1	uncharacterized protein		24265354	AK88_00040	1749	1749	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	162420	164168	+	XP_012333114.1		XM_012477691.1	uncharacterized protein		24265354	AK88_00040	1749	582	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	164758	167109	-						24265355	AK88_00041	2352		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	164758	167109	-	XM_012477692.1		XP_012333115.1	uncharacterized protein		24265355	AK88_00041	2352	2352	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	164758	167109	-	XP_012333115.1		XM_012477692.1	uncharacterized protein		24265355	AK88_00041	2352	783	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	168471	168752	-						24265356	AK88_00042	282		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	168471	168752	-	XM_012477693.1		XP_012333116.1	uncharacterized protein		24265356	AK88_00042	282	282	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	168471	168752	-	XP_012333116.1		XM_012477693.1	uncharacterized protein		24265356	AK88_00042	282	93	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	171216	172169	+						24265357	AK88_00043	954		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	171216	172169	+	XM_012477694.1		XP_012333117.1	60S acidic ribosomal protein P0		24265357	AK88_00043	954	954	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	171216	172169	+	XP_012333117.1		XM_012477694.1	60S acidic ribosomal protein P0		24265357	AK88_00043	954	317	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	174708	176030	+						24265358	AK88_00044	1323		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	174708	176030	+	XM_012477695.1		XP_012333118.1	uncharacterized protein		24265358	AK88_00044	1323	1323	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	174708	176030	+	XP_012333118.1		XM_012477695.1	uncharacterized protein		24265358	AK88_00044	1323	440	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	177336	181358	+						24265359	AK88_00045	4023		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	177336	181358	+	XM_012477696.1		XP_012333119.1	uncharacterized protein		24265359	AK88_00045	3015	3015	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	177336	181358	+	XP_012333119.1		XM_012477696.1	uncharacterized protein		24265359	AK88_00045	3015	1004	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	182040	187073	+						24265360	AK88_00046	5034		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	182040	187073	+	XM_012477697.1		XP_012333120.1	uncharacterized protein		24265360	AK88_00046	2481	2481	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	182040	187073	+	XP_012333120.1		XM_012477697.1	uncharacterized protein		24265360	AK88_00046	2481	826	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	187211	192106	-						24265361	AK88_00047	4896		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	187211	192106	-	XM_012477698.1		XP_012333121.1	uncharacterized protein		24265361	AK88_00047	4896	4896	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	187211	192106	-	XP_012333121.1		XM_012477698.1	uncharacterized protein		24265361	AK88_00047	4896	1631	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	194234	195906	+						24265362	AK88_00048	1673		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	194234	195906	+	XM_012477699.1		XP_012333122.1	uncharacterized protein		24265362	AK88_00048	1530	1530	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	194234	195906	+	XP_012333122.1		XM_012477699.1	uncharacterized protein		24265362	AK88_00048	1530	509	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	197895	200954	+						24265363	AK88_00049	3060		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	197895	200954	+	XM_012477700.1		XP_012333123.1	uncharacterized protein		24265363	AK88_00049	2898	2898	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	197895	200954	+	XP_012333123.1		XM_012477700.1	uncharacterized protein		24265363	AK88_00049	2898	965	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	201602	203083	-						24265364	AK88_00050	1482		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	201602	203083	-	XM_012477701.1		XP_012333124.1	uncharacterized protein		24265364	AK88_00050	1299	1299	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	201602	203083	-	XP_012333124.1		XM_012477701.1	uncharacterized protein		24265364	AK88_00050	1299	432	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	204269	206168	+						24265365	AK88_00051	1900		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	204269	206168	+	XM_012477702.1		XP_012333125.1	uncharacterized protein		24265365	AK88_00051	1176	1176	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	204269	206168	+	XP_012333125.1		XM_012477702.1	uncharacterized protein		24265365	AK88_00051	1176	391	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	206418	207962	-						24265366	AK88_00052	1545		partial
mRNA		GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	206418	207962	-	XM_012477703.1		XP_012333126.1	uncharacterized protein		24265366	AK88_00052	1545	1545	partial
CDS	with_protein	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	206418	207962	-	XP_012333126.1		XM_012477703.1	uncharacterized protein		24265366	AK88_00052	1545	514	
gene	protein_coding	GCF_000956335.1	Primary Assembly	unplaced scaffold		NW_012192581.1	208367	212835	-						24265367	AK88_00053	4469		partial
