# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	46293	46988	-	XM_008815623.1		XP_008813845.1	hypothetical protein		20035280	C922_00006	696	696	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	46293	46988	-	XP_008813845.1		XM_008815623.1	hypothetical protein		20035280	C922_00006	696	231	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	47031	48290	-						20035281	C922_00007	1260		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	47031	48290	-	XM_008815624.1		XP_008813846.1	hypothetical protein		20035281	C922_00007	441	441	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	47031	48290	-	XP_008813846.1		XM_008815624.1	hypothetical protein		20035281	C922_00007	441	146	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	56026	57330	+						20035282	C922_00008	1305		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	56026	57330	+	XM_008815625.1		XP_008813847.1	ribose-phosphate pyrophosphokinase		20035282	C922_00008	1305	1305	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	56026	57330	+	XP_008813847.1		XM_008815625.1	ribose-phosphate pyrophosphokinase		20035282	C922_00008	1305	434	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	58779	59012	+						20035283	C922_00009	234		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	58779	59012	+	XM_008815626.1		XP_008813848.1	small nuclear ribonucleoprotein		20035283	C922_00009	234	234	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	58779	59012	+	XP_008813848.1		XM_008815626.1	small nuclear ribonucleoprotein		20035283	C922_00009	234	77	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	60079	61029	-						20035284	C922_00010	951		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	60079	61029	-	XM_008815627.1		XP_008813849.1	L-lactate dehydrogenase		20035284	C922_00010	951	951	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	60079	61029	-	XP_008813849.1		XM_008815627.1	L-lactate dehydrogenase		20035284	C922_00010	951	316	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	62940	64924	+						20035285	C922_00011	1985		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	62940	64924	+	XM_008815628.1		XP_008813850.1	dihydrofolate synthase/folylpolyglutamate synthase		20035285	C922_00011	1560	1560	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	62940	64924	+	XP_008813850.1		XM_008815628.1	dihydrofolate synthase/folylpolyglutamate synthase		20035285	C922_00011	1560	519	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	65526	66315	-						20035286	C922_00012	790		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	65526	66315	-	XM_008815629.1		XP_008813851.1	synaptobrevin like YKT6		20035286	C922_00012	663	663	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	65526	66315	-	XP_008813851.1		XM_008815629.1	synaptobrevin like YKT6		20035286	C922_00012	663	220	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	67512	70730	-						20035287	C922_00013	3219		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	67512	70730	-	XM_008815630.1		XP_008813852.1	hypothetical protein		20035287	C922_00013	3033	3033	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	67512	70730	-	XP_008813852.1		XM_008815630.1	hypothetical protein		20035287	C922_00013	3033	1010	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	71640	75670	+						20035288	C922_00014	4031		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	71640	75670	+	XM_008815631.1		XP_008813853.1	hypothetical protein		20035288	C922_00014	3117	3117	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	71640	75670	+	XP_008813853.1		XM_008815631.1	hypothetical protein		20035288	C922_00014	3117	1038	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	76081	77264	-						20035289	C922_00015	1184		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	76081	77264	-	XM_008815632.1		XP_008813854.1	hypothetical protein		20035289	C922_00015	573	573	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	76081	77264	-	XP_008813854.1		XM_008815632.1	hypothetical protein		20035289	C922_00015	573	190	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	79202	92336	+						20035290	C922_00016	13135		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	79202	92336	+	XM_008815633.1		XP_008813855.1	hypothetical protein		20035290	C922_00016	12735	12735	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	79202	92336	+	XP_008813855.1		XM_008815633.1	hypothetical protein		20035290	C922_00016	12735	4244	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	93086	94870	+						20035291	C922_00017	1785		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	93086	94870	+	XM_008815634.1		XP_008813856.1	hypothetical protein		20035291	C922_00017	1416	1416	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	93086	94870	+	XP_008813856.1		XM_008815634.1	hypothetical protein		20035291	C922_00017	1416	471	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	95377	96963	-						20035292	C922_00018	1587		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	95377	96963	-	XM_008815635.1		XP_008813857.1	hypothetical protein		20035292	C922_00018	1587	1587	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	95377	96963	-	XP_008813857.1		XM_008815635.1	hypothetical protein		20035292	C922_00018	1587	528	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	101346	104933	+						20035293	C922_00019	3588		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	101346	104933	+	XM_008815636.1		XP_008813858.1	hypothetical protein		20035293	C922_00019	3588	3588	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	101346	104933	+	XP_008813858.1		XM_008815636.1	hypothetical protein		20035293	C922_00019	3588	1195	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	105111	106388	-						20035294	C922_00020	1278		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	105111	106388	-	XM_008815637.1		XP_008813859.1	hypothetical protein		20035294	C922_00020	1278	1278	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	105111	106388	-	XP_008813859.1		XM_008815637.1	hypothetical protein		20035294	C922_00020	1278	425	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	107204	110533	+						20035295	C922_00021	3330		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	107204	110533	+	XM_008815638.1		XP_008813860.1	hypothetical protein		20035295	C922_00021	3330	3330	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	107204	110533	+	XP_008813860.1		XM_008815638.1	hypothetical protein		20035295	C922_00021	3330	1109	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	111527	112785	-						20035296	C922_00022	1259		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	111527	112785	-	XM_008815639.1		XP_008813861.1	hypothetical protein		20035296	C922_00022	912	912	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	111527	112785	-	XP_008813861.1		XM_008815639.1	hypothetical protein		20035296	C922_00022	912	303	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	115658	116944	-						20035297	C922_00023	1287		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	115658	116944	-	XM_008815640.1		XP_008813862.1	hypothetical protein		20035297	C922_00023	1287	1287	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	115658	116944	-	XP_008813862.1		XM_008815640.1	hypothetical protein		20035297	C922_00023	1287	428	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	118101	119735	-						20035298	C922_00024	1635		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	118101	119735	-	XM_008815641.1		XP_008813863.1	hypothetical protein		20035298	C922_00024	1635	1635	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	118101	119735	-	XP_008813863.1		XM_008815641.1	hypothetical protein		20035298	C922_00024	1635	544	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	122992	124255	+						20035299	C922_00025	1264		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	122992	124255	+	XM_008815642.1		XP_008813864.1	50S ribosomal protein L23Ae		20035299	C922_00025	666	666	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	122992	124255	+	XP_008813864.1		XM_008815642.1	50S ribosomal protein L23Ae		20035299	C922_00025	666	221	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	124663	125682	-						20035300	C922_00026	1020		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	124663	125682	-	XM_008815643.1		XP_008813865.1	hypothetical protein		20035300	C922_00026	1020	1020	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	124663	125682	-	XP_008813865.1		XM_008815643.1	hypothetical protein		20035300	C922_00026	1020	339	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	127318	128167	+						20035301	C922_00027	850		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	127318	128167	+	XM_008815644.1		XP_008813866.1	V-type H+-transporting ATPase subunit G		20035301	C922_00027	366	366	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	127318	128167	+	XP_008813866.1		XM_008815644.1	V-type H+-transporting ATPase subunit G		20035301	C922_00027	366	121	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	130053	131034	+						20035302	C922_00028	982		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	130053	131034	+	XM_008815645.1		XP_008813867.1	50S ribosomal protein L9e		20035302	C922_00028	573	573	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	130053	131034	+	XP_008813867.1		XM_008815645.1	50S ribosomal protein L9e		20035302	C922_00028	573	190	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	132067	133075	+						20035303	C922_00029	1009		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	132067	133075	+	XM_008815646.1		XP_008813868.1	3R-hydroxymyristoyl ACP dehydrase		20035303	C922_00029	732	732	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	132067	133075	+	XP_008813868.1		XM_008815646.1	3R-hydroxymyristoyl ACP dehydrase		20035303	C922_00029	732	243	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	133172	134274	-						20035304	C922_00030	1103		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	133172	134274	-	XM_008815647.1		XP_008813869.1	hypothetical protein		20035304	C922_00030	426	426	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	133172	134274	-	XP_008813869.1		XM_008815647.1	hypothetical protein		20035304	C922_00030	426	141	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	134616	135043	-						20035305	C922_00031	428		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	134616	135043	-	XM_008815648.1		XP_008813870.1	hypothetical protein		20035305	C922_00031	291	291	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	134616	135043	-	XP_008813870.1		XM_008815648.1	hypothetical protein		20035305	C922_00031	291	96	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	137112	137607	-						20035306	C922_00032	496		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	137112	137607	-	XM_008815649.1		XP_008813871.1	hypothetical protein		20035306	C922_00032	312	312	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	137112	137607	-	XP_008813871.1		XM_008815649.1	hypothetical protein		20035306	C922_00032	312	103	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	139189	140238	+						20035307	C922_00033	1050		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	139189	140238	+	XM_008815650.1		XP_008813872.1	hypothetical protein		20035307	C922_00033	1050	1050	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	139189	140238	+	XP_008813872.1		XM_008815650.1	hypothetical protein		20035307	C922_00033	1050	349	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	141036	142649	+						20035308	C922_00034	1614		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	141036	142649	+	XM_008815651.1		XP_008813873.1	hypothetical protein		20035308	C922_00034	1614	1614	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	141036	142649	+	XP_008813873.1		XM_008815651.1	hypothetical protein		20035308	C922_00034	1614	537	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	142666	145542	-						20035309	C922_00035	2877		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	142666	145542	-	XM_008815652.1		XP_008813874.1	hypothetical protein		20035309	C922_00035	1929	1929	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	142666	145542	-	XP_008813874.1		XM_008815652.1	hypothetical protein		20035309	C922_00035	1929	642	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	146366	147974	-						20035310	C922_00036	1609		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	146366	147974	-	XM_008815653.1		XP_008813875.1	hypothetical protein		20035310	C922_00036	1326	1326	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	146366	147974	-	XP_008813875.1		XM_008815653.1	hypothetical protein		20035310	C922_00036	1326	441	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	150538	155084	+						20035311	C922_00037	4547		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	150538	155084	+	XM_008815654.1		XP_008813876.1	hypothetical protein		20035311	C922_00037	3873	3873	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	150538	155084	+	XP_008813876.1		XM_008815654.1	hypothetical protein		20035311	C922_00037	3873	1290	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	156005	168169	-						20035312	C922_00038	12165		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	156005	168169	-	XM_008815655.1		XP_008813877.1	hypothetical protein		20035312	C922_00038	9963	9963	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	156005	168169	-	XP_008813877.1		XM_008815655.1	hypothetical protein		20035312	C922_00038	9963	3320	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	170920	180097	-						20035313	C922_00039	9178		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	170920	180097	-	XM_008815656.1		XP_008813878.1	hypothetical protein		20035313	C922_00039	8640	8640	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	170920	180097	-	XP_008813878.1		XM_008815656.1	hypothetical protein		20035313	C922_00039	8640	2879	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	184061	186335	-						20035314	C922_00040	2275		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	184061	186335	-	XM_008815657.1		XP_008813879.1	ectonucleoside triphosphate diphosphohydrolase 5/6		20035314	C922_00040	1683	1683	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	184061	186335	-	XP_008813879.1		XM_008815657.1	ectonucleoside triphosphate diphosphohydrolase 5/6		20035314	C922_00040	1683	560	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	190260	191333	+						20035315	C922_00041	1074		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	190260	191333	+	XM_008815658.1		XP_008813880.1	hypothetical protein		20035315	C922_00041	1074	1074	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	190260	191333	+	XP_008813880.1		XM_008815658.1	hypothetical protein		20035315	C922_00041	1074	357	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	193010	194217	-						20035316	C922_00042	1208		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	193010	194217	-	XM_008815659.1		XP_008813881.1	hypothetical protein		20035316	C922_00042	783	783	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	193010	194217	-	XP_008813881.1		XM_008815659.1	hypothetical protein		20035316	C922_00042	783	260	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	198577	201900	-						20035317	C922_00043	3324		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	198577	201900	-	XM_008815660.1		XP_008813882.1	hypothetical protein		20035317	C922_00043	3132	3132	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	198577	201900	-	XP_008813882.1		XM_008815660.1	hypothetical protein		20035317	C922_00043	3132	1043	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	204167	206191	-						20035318	C922_00044	2025		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	204167	206191	-	XM_008815661.1		XP_008813883.1	hypothetical protein		20035318	C922_00044	2025	2025	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	204167	206191	-	XP_008813883.1		XM_008815661.1	hypothetical protein		20035318	C922_00044	2025	674	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	207986	209629	+						20035319	C922_00045	1644		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	207986	209629	+	XM_008815662.1		XP_008813884.1	hypothetical protein		20035319	C922_00045	1644	1644	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	207986	209629	+	XP_008813884.1		XM_008815662.1	hypothetical protein		20035319	C922_00045	1644	547	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	209917	210258	+						20035320	C922_00046	342		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	209917	210258	+	XM_008815663.1		XP_008813885.1	hypothetical protein		20035320	C922_00046	342	342	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	209917	210258	+	XP_008813885.1		XM_008815663.1	hypothetical protein		20035320	C922_00046	342	113	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	212207	214150	+						20035321	C922_00047	1944		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	212207	214150	+	XM_008815664.1		XP_008813886.1	hypothetical protein		20035321	C922_00047	1944	1944	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	212207	214150	+	XP_008813886.1		XM_008815664.1	hypothetical protein		20035321	C922_00047	1944	647	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	215651	218479	-						20035322	C922_00048	2829		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	215651	218479	-	XM_008815665.1		XP_008813887.1	hypothetical protein		20035322	C922_00048	2829	2829	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	215651	218479	-	XP_008813887.1		XM_008815665.1	hypothetical protein		20035322	C922_00048	2829	942	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	220157	223483	-						20035323	C922_00049	3327		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	220157	223483	-	XM_008815666.1		XP_008813888.1	hypothetical protein		20035323	C922_00049	2523	2523	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	220157	223483	-	XP_008813888.1		XM_008815666.1	hypothetical protein		20035323	C922_00049	2523	840	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	224613	225623	-						20035324	C922_00050	1011		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	224613	225623	-	XM_008815667.1		XP_008813889.1	hypothetical protein		20035324	C922_00050	1011	1011	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	224613	225623	-	XP_008813889.1		XM_008815667.1	hypothetical protein		20035324	C922_00050	1011	336	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	228541	230499	+						20035325	C922_00051	1959		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	228541	230499	+	XM_008815668.1		XP_008813890.1	hypothetical protein		20035325	C922_00051	1815	1815	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	228541	230499	+	XP_008813890.1		XM_008815668.1	hypothetical protein		20035325	C922_00051	1815	604	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	231773	232279	+						20035326	C922_00052	507		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	231773	232279	+	XM_008815669.1		XP_008813891.1	hypothetical protein		20035326	C922_00052	507	507	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	231773	232279	+	XP_008813891.1		XM_008815669.1	hypothetical protein		20035326	C922_00052	507	168	
gene	protein_coding	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	232641	233726	-						20035327	C922_00053	1086		partial
mRNA		GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	232641	233726	-	XM_008815670.1		XP_008813892.1	dihydroorotase		20035327	C922_00053	1086	1086	partial
CDS	with_protein	GCF_000524495.1	Primary Assembly	unplaced scaffold		NW_008481835.1	232641	233726	-	XP_008813892.1		XM_008815670.1	dihydroorotase		20035327	C922_00053	1086	361	
